name1,name2,score,false_positive
CBCI TELECOMCOM,TELCOM COMPUTER,0.837329,1
TELCOM COMPUTER,VALCOM CONSULTING,0.740224,1
KNAPPET INDUSTRIES 2006,KNAPPETT INDUSTRIES 2006,0.999973,0
CORADIX TECHNOLOGY CONSULTING,CORADIX TEHCHNOLOGY CONSULTING,0.999949,0
CORADIX TECHNOLOGY CONSULTING,DONA CONA,0.532252,1
CLICK NETWORK,CLICK NETWORKS,0.999985,0
AECOM,AECOM CANADA,0.999984,0
AECOM CANADA,AECOM CANADA,0.999986,0
AECOM CANADA,AECOM CANADA WINNIPEG,0.999986,0
AECOM CANADA,AECOM CONSULTANTS,0.999986,0
EMS TECHNOLOGIES CANADA HONEYWELL,HONEYWELL HONEYWELL,0.999986,0
STRATEGIC NATURAL RESOURCE CONSULTANTS,STRATEGIC NATURAL RESOURCE CONSULTANTS,0.999989,0
STRATEGIC NATURAL RESOURCE CONSULTANTS,STRATEGIC NATURAL RESOURCE CONSULTANTS KFC CFC,0.999989,0
STRATEGIC NATURAL RESOURCE CONSULTA,STRATEGIC NATURAL RESOURCE CONSULTANTS,0.999989,0
CARAHSOFT TECHNOLOGY,DELOITTE FOR CARAHSOFT TECHNOLOGY,0.999987,0
ITEX,ITEXTIG,0.999941,0
ITEX DBA TECHNOLOGY,ITEXTIG,0.999940,0
ITEXTIG,ITEXTIG VIA SSC,0.999981,0
THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,0.999946,0
THALES CANADA SYSTEMS DIVISION,THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,0.999965,0
THALES CANADA NAVAL SERVICES BU,THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,0.999964,0
THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,THALES COMMUNICATIONS,0.999970,0
THALES CANADA THALES AUSTRALIA IN JOINT VENTURE,THALES DEFENCE SECURITY,0.999963,0
AECOM,AECOM CANADA WINNIPEG,0.999983,0
AECOM,AECOM CONSULTANTS,0.999982,0
ADVANCED CHIPPEWA TECH,ADVANCED CHIPPEWA TECH ACT,0.999988,0
ADVANCED CHIPPEWA TECH ACT,ADVANCED CHIPPEWA THECHNOLOGIES,0.999987,0
ADVANCED CHIPPEWA TECH ACT,ADVANCED CHIPPEWAS,0.999987,0
EFR ENVIRONMENTAL,FERO WASTE RECYCLING,0.969848,0
CORCAN,FERO WASTE RECYCLING,0.624799,1
RICOH CANADA,RICOH CANADA,0.999986,0
LANDMARK SOLUTIONS,LANDMARK SOLUTIONS,0.999981,0
EXPERIS CANADA,EXPERIS VERITAAQ,0.999971,0
CANSEL SURVEY EQUIPMENT CANADA,CANSEL SURVEY EQUIPMENT EQUIPEMENTS DARPENTAGE CANSEL,0.999970,0
CANSEL SURVEY EQUIPMENT,CANSEL SURVEY EQUIPMENT EQUIPEMENTS DARPENTAGE CANSEL,0.999980,0
CANSEL,CANSEL SURVEY EQUIPMENT EQUIPEMENTS DARPENTAGE CANSEL,0.999408,0
CANSEL SURVEY EQUIPMENT EQUIPEMENTS DARPENTAGE CANSEL,COMBAT NETWORKS,0.523474,1
CGI INFORMATION SYSTEMS MANAGEMENT CONSULTANTS,CGI INFORMATION SYSTEMS MANAGEMENT CONSULTANTS,0.996750,0
WORLD FUEL SERVICES CANADA,WORLDD FUEL SERVICES CANADA,0.999982,0
WORLD FUEL SERVICES,WORLD FUEL SERVICES CANADA,0.999980,0
WORLD FUEL SERVICE,WORLD FUEL SERVICES CANADA,0.999980,0
WORLD FUEL FLIGHT SERVICES,WORLD FUEL SERVICES CANADA,0.999983,0
WORL FUEL SERVICES TRADING,WORLD FUEL SERVICES CANADA,0.999941,0
IMPERIAL OIL,WORLD FUEL SERVICES CANADA,0.995048,1
PALADIN SECURITY GROUP,PALADIN SECURITY GROUP,0.999960,0
PALADIN SECURITY GROUP,PALADIN SECURITY SYSTEMS,0.999827,0
HEWLETT PACKARD CANADA,PALADIN SECURITY GROUP,0.972798,1
THALES AIR TRAFFIC MANAGEMENT US,THALES COMMUNICATIONS,0.999973,0
THALES AIR TRAFFIC MANAGEMENT US,THALES CANADA SYSTEMS DIVISION,0.999940,0
THALES AIR TRAFFIC MANAGEMENT US,THALES CANADA NAVAL SERVICES BU,0.999943,0
THALES AIR TRAFFIC MANAGEMENT US,THALES DEFENCE SECURITY,0.999963,0
TELUS COMMUNICATIONS,TELUS COMMUNICATIONS,0.999986,0
TELUS COMMUNICATIONS,TELUS COMMUNICATIONS COMPANY,0.999985,0
TELUS COMMUNICATIONS,TELUS HEALTH,0.999986,0
MODIS CANADA CR 114705,TELUS COMMUNICATIONS,0.904731,1
MODIS CANADA,TELUS COMMUNICATIONS,0.926282,1
SHELL,SHELL AVIAITON,0.999978,0
SHELL,SHELLCANADA PRODUCTS,0.999976,0
SHELL,SHELL BRASIL,0.999974,0
GDI SERVICES CANADA,GDI SERVICES QUEBEC SEC,0.999980,0
GDI SERVICES,GDI SERVICES CANADA,0.999984,0
GDI SERVICES CANADA,GDI SERVICES CANADA,0.999982,0
JHT DEFENSE,JHT DEFENSE INCEC,0.999987,0
JHT DEFENSE,JHT DEFENSE,0.999987,0
MCELHANNEY EDMONTON,MCELHINNEY HOLDINGS,0.999935,0
MCELHANNEY CONSULTING SERVICES APRIL 20 2016,MCELHINNEY HOLDINGS,0.999819,0
ZYCOM TECH,ZYCOM TECHNOLOGIES,0.999981,0
ZYCOM,ZYCOM TECH,0.999972,0
CBCI TELECOMCOM,ZYCOM TECH,0.950206,1
ZYCOM AS RESELLER FOR DELL,ZYCOM TECH,0.999929,0
ESRI CANADA,ESRI CANADA LTC,0.999966,0
SHELL AVIAITON,SHELL BRASIL,0.999980,0
SHELL BRASIL,SHELLCANADA PRODUCTS,0.999981,0
TELUS HEALTH,TELUS HEALTH SOLUTIONS TELUS SOLUTIONS EN SANTE,0.999980,0
TELUS COMMUNICATIONS,TELUS HEALTH SOLUTIONS TELUS SOLUTIONS EN SANTE,0.999950,0
GROUPE SANTE MEDISYS,TELUS HEALTH SOLUTIONS TELUS SOLUTIONS EN SANTE,0.906289,0
TELUS COMMUNICATIONS COMPANY,TELUS HEALTH SOLUTIONS TELUS SOLUTIONS EN SANTE,0.999940,0
TELUS COLLABORATION SERVICES,TELUS HEALTH SOLUTIONS TELUS SOLUTIONS EN SANTE,0.999926,0
CARDINAL HEALTH,CARDINAL HEALTH,0.999983,0
HEWLETT PACKARD CANADA,HEWLETTPACKARD CANADA,0.997979,0
HEWLETT PACKARD CANADA,MCDONNELL DOUGLAS,0.965941,1
CANADIAN COMMISSIONAIRES,HEWLETT PACKARD CANADA,0.989729,1
COMMISSIONAIRES KINGSTON,HEWLETT PACKARD CANADA,0.984183,1
HEWLETT PACKARD CANADA,LUMINA IT,0.941011,1
COMMISSIONAIRE NOVA SCOTIA,HEWLETT PACKARD CANADA,0.986580,1
BA BLACKTOP,BA BLACKTOP,0.999777,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPS COMMISSIONIARES,0.999984,0
CANADIAN COMMISSIONAIRES,COMMISSIONAIRES,0.999985,0
CANADIAN COMMISSIONAIRES,COMMISSIONAIRE NOVA SCOTIA,0.999985,0
CANADIAN COMMISSIONAIRES,COMMISSIONAIRES OTTAWA COLONADE,0.999986,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPS COMISSIONAIRES,0.999984,0
CANADIAN COMMISSIONAIRES,COMMISIONAIRES SASKATCHEWAN,0.999977,0
CANADIAN COMMISSIONAIRES,CORPS COMMISSIONAIRES,0.999984,0
CANADIAN COMMISSIONAIRES,COMMISSIONAIRES KINGSTON,0.999985,0
CANADIAN COMMISSIONAIRES,COMMISSISONAIRES OTTAWA,0.999958,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES,0.999984,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPSCOMMISSIONNAIRES,0.999980,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,0.999984,0
CANADIAN COMMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,0.999985,0
CANADIAN COMMISSIONAIRES,CANCORPS COMMISSIONAIRES,0.999986,0
CANADIAN COMMISSIONAIRES,UNITED RENTALS CANADA,0.917210,1
CANADIAN COMMISSIONAIRES,WORLDD FUEL SERVICES CANADA,0.962117,1
AMTEK ENGINEERING,AMTEK ENGINEERING SERVICES,0.999986,0
AMTEK ENGINEERING SERVICES,AMTEK ENGINEERING SERVICES LD,0.999986,0
AMTEK,AMTEK ENGINEERING SERVICES,0.999985,0
CANADIAN CORPS COMMISSIONAIRES,CANADIAN CORPS COMMISSIONIARES,0.999983,0
CANADIAN CORPS COMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES,0.999982,0
CANADIAN CORPS COMMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,0.999983,0
CANADIAN CORPS COMMISSIONAIRES,CORPS COMMISSIONAIRES,0.999983,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSIONAIRE NOVA SCOTIA,0.999982,0
CANADIAN CORPS COMMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,0.999984,0
CANADIAN CORPS COMMISSIONAIRES,CANADIAN CORPSCOMMISSIONNAIRES,0.999982,0
CANADIAN CORPS COMMISSIONAIRES,COMMISIONAIRES SASKATCHEWAN,0.999973,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSIONAIRES OTTAWA COLONADE,0.999984,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSIONAIRES,0.999983,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSISONAIRES OTTAWA,0.999926,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSIONAIRES KINGSTON,0.999983,0
CANADIAN CORPS COMMISSIONAIRES,CANCORPS COMMISSIONAIRES,0.999984,0
CANADIAN CORPS COMMISSIONAIRES,COMMISSIONAIRES SECURITY SOLUTIONS,0.999982,0
HITACHI DATA SYSTEMS,HITACHI HIGHTECH CANADA,0.999986,0
IBM CANADA IBM CANADA,IBM CANADA IBM CANADA,0.999977,0
IBM CANADA,IBM CANADA IBM CANADA,0.999984,0
SNCLAVALIN,SNCLAVALIN DEFENSE PROGRAMS,0.999986,0
SNCLAVALIN DEFENSE PROGRAMS,SNCLAVALIN ENVIRONMENT VICTORIA,0.999985,0
SNC LAVALIN,SNCLAVALIN DEFENSE PROGRAMS,0.999982,0
SNCLAVALIN DEFENSE PROGRAMS,SNCLAVALIN MONTREAL,0.999986,0
SNC LAVALIN PROFAC,SNCLAVALIN DEFENSE PROGRAMS,0.999980,0
ATKINSREALIS FORMERLY SNCLAVALIN,SNCLAVALIN DEFENSE PROGRAMS,0.999982,0
CANADIAN CORPS COMMISSIONIARES,CORPS COMMISSIONAIRES,0.999982,0
COMMISSIONAIRES,CORPS COMMISSIONAIRES,0.999984,0
CANADIAN CORPS COMISSIONAIRES,CORPS COMMISSIONAIRES,0.999981,0
COMMISSIONAIRE NOVA SCOTIA,CORPS COMMISSIONAIRES,0.999984,0
COMMISIONAIRES SASKATCHEWAN,CORPS COMMISSIONAIRES,0.999960,0
COMMISSIONAIRES KINGSTON,CORPS COMMISSIONAIRES,0.999984,0
COMMISSIONAIRES OTTAWA COLONADE,CORPS COMMISSIONAIRES,0.999985,0
CANADIAN CORPSCOMMISSIONNAIRES,CORPS COMMISSIONAIRES,0.999979,0
CANCORPS COMMISSIONAIRES,CORPS COMMISSIONAIRES,0.999986,0
COMMISSISONAIRES OTTAWA,CORPS COMMISSIONAIRES,0.999940,0
CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,CORPS COMMISSIONAIRES,0.999983,0
COMBAT NETWORKS,CORPS COMMISSIONAIRES,0.601773,1
CORPS COMMISSIONAIRES,UNITED RENTALS CANADA,0.740634,1
CIMCO REFRIGERATION,CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,0.999985,0
CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,TOROMONT INDUSTRIES INDUSTRIES TOROMONT,0.999982,0
CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,TOROMONT ARCTIC,0.999976,0
CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,TOROMONT CAT POWER SYSTEMS,0.999981,0
CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,TOROMONT MATERIAL HANDLING,0.999976,0
CIMCO REFRIGERATION DIVISION TOROMONT INDUSTRIES,TOROMONT CAT,0.999975,0
SAMUEL MANUTECH,SAMUEL SON,0.999978,0
JOSEPH ELIE,SAMUEL MANUTECH,0.503431,1
ATKINSREALIS,ATKINSREALIS FORMERLY SNCLAVALIN,0.999985,0
EXCEL,EXCEL HUMAN RESOURCE,0.999988,0
EXCEL HUMAN RESOURCE,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999989,0
ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,EXCEL HUMAN RESOURCE,0.999990,0
ALTIS HUMAN RESSOUCES,EXCEL HUMAN RESOURCE,0.999989,0
ALTIS HUMAN RESOURCES OTTAWA,EXCEL HUMAN RESOURCE,0.999990,0
ALTIS PROFESSIONAL RECRUITMENT,EXCEL HUMAN RESOURCE,0.999987,0
ALTIS HUMAN RESOURCES VANCOUVER I,EXCEL HUMAN RESOURCE,0.999990,0
ALTIS RECRUITMENT,EXCEL HUMAN RESOURCE,0.999988,0
ALTIS PROFESSIONAL SERVICES,EXCEL HUMAN RESOURCE,0.999988,0
ALTIS VANCOUVER,EXCEL HUMAN RESOURCE,0.999971,0
EXCEL HUMAN RESOURCE,TECHSOL MARINE,0.565838,1
ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,EXCEL HUMAN RESOURCE,0.999989,0
ALTIS RECRUITMENT TECHNOLOGY IN,EXCEL HUMAN RESOURCE,0.999988,0
EXCEL HUMAN RESOURCE,EXCELLERIS TECHNOLOGIES A DIVISION LIFELABS,0.992542,1
GLOBAL UPHOLSTERY,GLOBAL UPHOLSTERY RD,0.999989,0
GLOBAL UPHOLSETERY,GLOBAL UPHOLSTERY,0.999990,0
ERNST YOUNG GLOBAL,GLOBAL UPHOLSTERY,0.945330,1
GLOBAL UPHOLSTERY,WORLD FUEL SERVICES,0.996413,1
ACKLAND GRAINGER,ACKLANDS GRAINGER,0.999984,0
ACKLANDS GRAINGER,ACKLANDS GRAINGER CANADA,0.999984,0
ACKLANDS GRAINGER,ACKLANDSGRAINGER,0.999964,0
GDI SERVICES,GDI SERVICES QUEBEC SEC,0.999981,0
CHANDLER DIV JD IRVING,J D IRVING,0.999471,0
A DIVISION JD IRVING,J D IRVING,0.999683,0
IRVING EQUIPMENT,J D IRVING,0.999601,0
J D IRVING,KENT,0.779441,0
CALAIAN,CALIAN,0.999908,0
CMF CONSTRUCTION,CMF CONSTRUCTION,0.999968,0
ROGERS COMMUNICATIONS CANADA,ROGERS WIRELESS,0.999982,0
ROGERS ATT,ROGERS WIRELESS,0.999975,0
BABCOCK INTEGRATED TECHNOLOGY,BABCOCKI INTERNATIONAL GROUP,0.999983,0
AEF FUELS,AEG FULES,0.998544,0
JOHNSON CONTROLS CANADA,SOCIETE CONTROLE JOHNSON CANADA SEC,0.999929,0
MICROSOFT CONSULTING SERVICES,MICROSOFT SERVICES,0.999981,0
MICROSOFT,MICROSOFT CONSULTING SERVICES,0.999964,0
MICROSOFT CANADA,MICROSOFT CONSULTING SERVICES,0.999976,0
HEWLETT PACKARD CANADA,LEONARDO UK,0.694547,1
GENERAL DYNAMICS C4SYSTEMS,GENERAL DYNAMICS LAND SYSTEMS,0.999988,0
GENERAL DYNAMICS GLOBAL IMAGING TECHNOLOGIES,GENERAL DYNAMICS LAND SYSTEMS,0.999988,0
BALCK MCDONALD,BLACK MCDONALD OTTAWA,0.999936,0
BALCK MCDONALD,BLACK MCDONALD,0.999925,0
BALCK MCDONALD,BLACK MACDONALD,0.999894,0
L3 COMMUNICATIONS,L3 COMMUNICATIONS ELECTRONIC SYSTEMS,0.999984,0
L3 AVIATION PRODUCTS,L3 COMMUNICATIONS ELECTRONIC SYSTEMS,0.999976,0
L3 COMMUNICATIONS ELECTRONIC SYSTEMS,L3 MAPPS,0.999980,0
GROUPE HARNOIS,HARNOIS,0.999981,0
GROUPE HARNOIS,HARNOIS ENERGIE,0.999980,0
AKKODIS CANADA,MODIS CANADA,0.956718,0
AKKODIS CANADA,MODIS CANADA CR 114705,0.933056,0
SAMSON ASSOCIATES CPA CONSULTATION,SAMSON ASSOCIATES CPA CONSULTING SERVICES,0.999981,0
SAMSON ASSOCIATES CPA CONSULTATION,SAMSON ASSOCIES,0.999977,0
ROGERS ATT,SAMSON ASSOCIATES CPA CONSULTATION,0.999155,1
SHELL AVIAITON,SHELLCANADA PRODUCTS,0.999981,0
TELECOM,VALCOM CONSULTING GROUP,0.995599,1
CBCI TELECOMCOM,VALCOM CONSULTING GROUP,0.835070,1
KPMG FORENSIC,KPMG VICTORIA,0.999969,0
KPMG,KPMG FORENSIC,0.999980,0
KPMG FKA KPMG MSLP,KPMG FORENSIC,0.999959,0
ITNETOTTAWA KPMG IN JOINT VENTURE,KPMG FORENSIC,0.999850,0
STANTEC CONSULTING OTTAWA,STANTEC CONSULTING SCL,0.999986,0
STANTEC CONSULTING OTTAWA,STANTEC EXPERT CONSEILS,0.999986,0
STANTEC ARCHITECTURE,STANTEC CONSULTING OTTAWA,0.999987,0
ALTIS PROFESSIONAL RECRUITMENT,ALTIS RECRUITMENT,0.999989,0
ALTIS RECRUITMENT,ALTIS RECRUITMENT TECHNOLOGY IN,0.999989,0
ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,ALTIS RECRUITMENT,0.999989,0
ALTIS PROFESSIONAL SERVICES,ALTIS RECRUITMENT,0.999989,0
ALTIS HUMAN RESSOUCES,ALTIS RECRUITMENT,0.999989,0
ALTIS HUMAN RESOURCES OTTAWA,ALTIS RECRUITMENT,0.999989,0
ALTIS RECRUITMENT,ALTIS VANCOUVER,0.999987,0
ALTIS HUMAN RESOURCES VANCOUVER I,ALTIS RECRUITMENT,0.999989,0
ALTIS RECRUITMENT,TELUS COLLABORATION SERVICES,0.583484,1
ALTIS RECRUITMENT,EXCEL,0.999982,0
ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,ALTIS RECRUITMENT,0.999988,0
ALTIS RECRUITMENT,TELUS HEALTH,0.918028,1
INDUSTRA CONSTRUCTION,INDUSTRA CONSTRUCTION,0.999984,0
ZYCOM AS RESELLER FOR DELL,ZYCOM TECHNOLOGIES,0.999909,0
ZYCOM,ZYCOM AS RESELLER FOR DELL,0.999938,0
DELL COMPUTER,ZYCOM AS RESELLER FOR DELL,0.948264,1
DELL CANADA,ZYCOM AS RESELLER FOR DELL,0.736735,1
DELLCANADA,ZYCOM AS RESELLER FOR DELL,0.560772,1
ALTIS PROFESSIONAL RECRUITMENT EXCEL HUMAN RESOURCES,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999989,0
EXCEL,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999987,0
ALTIS HUMAN RESOURCES OTTAWA,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999989,0
ALTIS HUMAN RESOURCES VANCOUVER I,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999988,0
ALTIS HUMAN RESOURCES OTTAWA EXCELHUMAN RESOURCES IN JOINT VENTURE,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999989,0
ALTIS HUMAN RESSOUCES,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999981,0
ALTIS PROFESSIONAL SERVICES,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999904,0
ALTIS VANCOUVER,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.908928,0
ALTIS PROFESSIONAL RECRUITMENT,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999934,0
EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,HEWLETT PACKARD CANADA,0.976882,1
ALTIS RECRUITMENT,EXCEL HUMAN RESOURCES OPERATING AS EXCELITR,0.999873,0
AFS AVIATION FUEL SERVICES,APRON FUEL SERVICES,0.999953,0
ALTIS VANCOUVER,EXCEL,0.999969,0
EXCEL,WORLS FUELS,0.907225,1
JANSSEN,JANSSENORTHO,0.999856,0
GFL ENVIRONMENTAL,GFL INVIRONMENTAL,0.999986,0
GFL ENVIROMENTAL,GFL ENVIRONMENTAL,0.999986,0
GFL ENVIRONMANTAL,GFL ENVIRONMENTAL,0.999986,0
GFL ENVIRONMENTAL,GFL ENVIRONMENTAL,0.999986,0
XEROX CANADA,XEROX CANADA,0.999984,0
LEICA MICROSYSTEMS CANADA,LEICA MICROSYSTEMS CANADA,0.999988,0
CDW CANADA,CDW CANADA,0.999984,0
LUMINA IT CBZ JOINT VENTURE,LUMINAIT,0.999829,0
DRS INFRARED TECHNOLOGIES,DRS TECHNOLOGIES,0.999964,0
TELUS COMMUNICATIONS COMPANY,TELUS COMMUNICATIONS COMPANY,0.999984,0
TELUS COMMUNICATIONS COMPANY,TELUS HEALTH,0.999985,0
MODIS CANADA,TELUS COMMUNICATIONS COMPANY,0.699438,1
MODIS CANADA CR 114705,TELUS COMMUNICATIONS COMPANY,0.543529,1
FLIGHT FUEL,FLIGHT FUELS,0.999910,0
SMITH CARTER ARCHITECTS OTTAWA,SMITH CARTER ARCHITECTS WINNIPEG,0.999977,0
ARCHITECTURE49,SMITH CARTER ARCHITECTS OTTAWA,0.706933,0
THALES CANADA NAVAL SERVICES BU,THALES CANADA SYSTEMS DIVISION,0.999975,0
THALES CANADA SYSTEMS DIVISION,THALES COMMUNICATIONS,0.999980,0
THALES CANADA SYSTEMS DIVISION,THALES DEFENCE SECURITY,0.999976,0
SOLOTECH,SOLOTECH QUEBEC,0.999986,0
CBCI SOLOTECH,SOLOTECH QUEBEC,0.999985,0
CBCI TELECOM A SOLOTECH COMPANY,SOLOTECH QUEBEC,0.999984,0
4 REFUEL,4REFUEL CANADA,0.992132,0
4 REFUEL,4OFFICE AUTOMATION,0.996461,1
PACIFIC INDUSTRIAL MARINE,PACIFIC INDUSTRIAL MARINE,0.999975,0
ACHITECTURE 49,ARCHITECTURE49,0.996614,0
COMPASS CANADA EUREST,VERREAULT NAVIGATION,0.997390,1
SIMEX DEFENSE,SIMEX EQUIPMENT,0.999985,0
SIMEX DEFENSE,SIMEX DEFENSE,0.999985,0
SIMEX DEFENCE IN,SIMEX DEFENSE,0.999984,0
ASOKAN BUSINESES INTERIORS,ASOKAN BUSINESS INTERIORS,0.999981,0
ASOKAN BUSINESES INTERIORS,ASOKAN SOLUTIONS BUREAU,0.999978,0
ASOKAN BUSINESES INTERIORS,ASOKAN SOLUTION BUREAU,0.999971,0
CANSEL SURVEY EQUIPMENT,CANSEL SURVEY EQUIPMENT CANADA,0.999983,0
CANSEL,CANSEL SURVEY EQUIPMENT CANADA,0.999939,0
SI SYSTEMS,SI SYSTEMS,0.999988,0
PETERS BROS CONSTRUCTION,PETERS BROS CONSTRUCTION,0.999979,0
RANDSTAD INTERIM,RANDSTAD INTERIM,0.999985,0
1025178RANDSTAD INTERIM,RANDSTAD INTERIM,0.999900,0
WOOD,WOOD CANADA,0.999895,0
BECTON DICKINSON CANADA,BECTON DICKINSON CANADA,0.999956,0
BECTON DICKINSON CANADA,BECTON DICKSON BD CANADA,0.999828,0
BARD CANADA,BECTON DICKINSON CANADA,0.996987,0
BECTON DICKINSON CANADA,HEWLETT PACKARD CANADA,0.737836,1
TOROMONT INDUSTRIES INDUSTRIES TOROMONT,TOROMONT INDUSTRIES INDUSTRIES TOROMONT,0.999984,0
TOROMONT INDUSTRIES INDUSTRIES TOROMONT,TOROMONT MATERIAL HANDLING,0.999984,0
TOROMONT CAT,TOROMONT INDUSTRIES INDUSTRIES TOROMONT,0.999983,0
TOROMONT ARCTIC,TOROMONT INDUSTRIES INDUSTRIES TOROMONT,0.999983,0
TOROMONT CAT POWER SYSTEMS,TOROMONT INDUSTRIES INDUSTRIES TOROMONT,0.999983,0
ATCO STRUCTURES LOGISTICS,ATCO STRUCTURES LOGISTICS SERVICES,0.999987,0
ATCO POWER CANADA,ATCO STRUCTURES LOGISTICS SERVICES,0.999987,0
WSP CANADA GROUP,WSP CANADA GROUP,0.999985,0
WSP CANADA GROUP,WSP EI CANADA,0.999984,0
LOGISTIC UNICORP,LOGISTIK UNICORP,0.999988,0
TELECOM,VALCOM CONSULTING,0.944636,1
CBCI TELECOMCOM,VALCOM CONSULTING,0.690046,1
VALCOM CONSULTING,ZYCOM,0.543254,1
FUJITSU CANADA,FUJITSU NETWORK COMMUNICATIONS,0.999989,0
FUJITSU CONSULTING CANADA FUJITSU CONSEIL CANADA,FUJITSU NETWORK COMMUNICATIONS,0.999985,0
BGIS GLOBAL INTEGRATED SOLUTIONS CA,BROOKFIELD GLOBAL INTEGRATED SOLUTION,0.999970,0
WORLD FUEL SERVICE,WORLD FUEL SERVICES,0.999979,0
WORLD FUEL FLIGHT SERVICES,WORLD FUEL SERVICES,0.999981,0
WORLD FUEL SERVICES,WORLDD FUEL SERVICES CANADA,0.999981,0
AFS AVIATION FUEL SERVICES,WORLD FUEL SERVICES,0.849226,1
WORL FUEL SERVICES TRADING,WORLD FUEL SERVICES,0.999953,0
IMPERIAL OIL,WORLD FUEL SERVICES,0.998434,1
INPERIAL OIL,WORLD FUEL SERVICES,0.957396,1
GLOBAL UPHOLSTERY RD,WORLD FUEL SERVICES,0.984479,1
LIFE TECHNOLOGIES,LIFE TECHNOLOGIES,0.999970,0
ZYCOM,ZYCOM TECHNOLOGIES,0.999970,0
TELECOM COMPUTER,TELECOM COMPUTERS,0.999970,0
TELECOM,TELECOM COMPUTER,0.999610,0
WORLD FUEL FLIGHT SERVICES,WORLD FUEL SERVICE,0.999982,0
WORLD FUEL SERVICE,WORLDD FUEL SERVICES CANADA,0.999981,0
AFS AVIATION FUEL SERVICES,WORLD FUEL SERVICE,0.947149,1
WORL FUEL SERVICES TRADING,WORLD FUEL SERVICE,0.999955,0
IMPERIAL OIL,WORLD FUEL SERVICE,0.998335,1
INPERIAL OIL,WORLD FUEL SERVICE,0.971744,1
GLOBAL UPHOLSTERY RD,WORLD FUEL SERVICE,0.817838,1
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,CANADIAN CORPS COMMISSIONAIRES NORTHERN ALBERTA DIVISION,0.999984,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,CANADIAN CORPS COMMISSIONIARES,0.999984,0
CANADIAN CORPS COMISSIONAIRES,CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,0.999983,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,COMMISSIONAIRE NOVA SCOTIA,0.999985,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,CANADIAN CORPSCOMMISSIONNAIRES,0.999983,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,COMMISIONAIRES SASKATCHEWAN,0.999975,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,COMMISSIONAIRES OTTAWA COLONADE,0.999985,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,CORPS COMMISSIONAIRES,0.999984,0
CANADIAN CORPS COMMISSIONAIRES NEWFOUNDLAND,COMMISSIONAIRES KINGSTON,0.999985,0
